SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
1,3,1,Car,1227,457,1494,687,0.1,0
2,3,2,Car,282,286,401,366,0.1,0
3,3,3,Car,910,292,1119,467,0.1,0
4,3,4,Car,491,279,677,447,0.1,0
5,3,5,Car,798,558,1070,809,0.1,0
6,3,6,Car,634,388,888,594,0.1,0
7,3,7,Car,884,877,1196,1074,0.1,0
8,4,1,Car,1235,463,1496,687,0.1333,37.27
9,4,2,Car,283,285,403,365,0.1333,7.18
10,4,3,Car,914,293,1124,468,0.1333,15.37
11,4,4,Car,491,281,678,449,0.1333,9.34
12,4,5,Car,802,562,1073,812,0.1333,20.48
13,4,6,Car,649,406,882,594,0.1333,83.81
14,4,7,Car,898,888,1193,1072,0.1333,64.59
15,5,1,Car,1242,466,1503,689,0.1667,28.25
16,5,2,Car,284,283,405,365,0.1667,7.36
17,5,3,Car,917,294,1129,472,0.1667,13.95
18,5,4,Car,501,284,683,448,0.1667,38.21
19,5,5,Car,809,570,1078,819,0.1667,40.81
20,5,6,Car,653,409,888,599,0.1667,18.91
21,5,7,Car,910,900,1187,1070,0.1667,62.82
22,6,1,Car,1248,471,1511,696,0.2,29.46
23,6,2,Car,286,282,408,364,0.2,10.27
24,6,3,Car,919,293,1134,474,0.2,8.19
25,6,4,Car,504,285,686,448,0.2,14.06
26,6,5,Car,814,577,1087,829,0.2,30.71
27,6,6,Car,654,408,899,607,0.2,4.34
28,6,7,Car,918,910,1185,1072,0.2,47.41
29,7,1,Car,1250,474,1518,702,0.2333,14.89
30,7,2,Car,285,280,411,365,0.2333,4.86
31,7,3,Car,919,293,1137,476,0.2333,3.19
32,7,4,Car,506,286,688,449,0.2333,10.69
33,7,5,Car,817,581,1090,834,0.2333,20.58
34,7,6,Car,655,408,905,610,0.2333,4.86
35,7,7,Car,927,917,1185,1069,0.2333,43.45
36,8,1,Car,1253,476,1529,712,0.2667,15.2
37,8,2,Car,286,280,412,365,0.2667,6.66
38,8,3,Car,920,293,1139,478,0.2667,6.7
39,8,4,Car,507,286,691,452,0.2667,4.93
40,8,5,Car,820,590,1095,845,0.2667,34.18
41,8,6,Car,659,412,910,614,0.2667,22.97
42,8,7,Car,925,924,1186,1073,0.2667,24.99
43,9,1,Car,1256,478,1541,723,0.3,13.01
44,9,2,Car,287,279,413,364,0.3,4.58
45,9,3,Car,928,296,1143,478,0.3,32.48
46,9,4,Car,510,287,695,453,0.3,11.52
47,9,5,Car,827,594,1100,850,0.3,29.43
48,9,6,Car,661,414,919,621,0.3,13.95
49,9,7,Car,936,932,1182,1073,0.3,48.87
50,10,1,Car,1257,479,1548,730,0.3333,5.21
51,10,2,Car,287,278,415,363,0.3333,4.58
52,10,3,Car,932,298,1145,479,0.3333,18.08
53,10,4,Car,511,287,697,454,0.3333,3.85
